hipparcos_id,ra_deg,dec_deg,mag,hp_mag
7603,24.48387464,21.26111847,7.96,7.9977
7604,24.48752013,9.76358437,7.59,7.6878
7605,24.48813536,59.29901848,7.99,8.0591
7606,24.49610842,-27.22244147,8.68,8.8407
7607,24.49792632,48.62848635,3.59,3.7515
7608,24.50034498,16.36175503,9.16,9.3297
7609,24.50959997,21.88642556,7.86,7.9721
7610,24.51534056,-46.08385776,6.97,7.1435
7611,24.51886271,-10.33991553,7.76,7.9233
7612,24.51946146,30.78982766,8.18,8.311
7613,24.51976528,69.44377686,8.41,8.5378
7614,24.51961645,41.17916571,8.46,8.5892
7615,24.52086919,-66.55643826,7.65,7.7718
7616,24.52578765,65.53514392,7.58,7.7465
7617,24.53151508,57.97764481,5.55,5.7152
7618,24.53423152,-21.15803134,11.77,11.8767
7619,24.53588782,-33.00340131,9.95,10.0405
7620,24.53802507,10.72215831,9.97,10.0853
7621,24.54178297,12.8462092,9.53,9.6277
7622,24.54589434,35.33919077,7.62,7.7604
7623,24.54878107,-67.57016888,8.16,8.3221
7624,24.54961321,-6.91675896,8.61,8.7641
7625,24.55269167,62.3517821,6.72,6.7196
7626,24.55843089,17.8298105,9.4,9.5403
7627,24.56475351,-37.80295371,9.64,9.7752
7628,24.56723456,-47.93487476,7.28,7.3599
7629,24.57325698,72.58277202,8.11,8.2759
7630,24.57544746,-35.21334241,9.33,9.4992
7631,24.58266341,39.35490522,8.6,8.6062
7632,24.58294345,2.5860724,6.94,7.0765
7633,24.58486133,82.4252693,10.77,10.8461
7634,24.58708951,49.98047009,8.64,8.7863
7636,24.59919422,29.56741921,8.65,8.7959
7637,24.60283157,-83.24769728,7.32,7.4863
7638,24.60457937,-28.56331064,9.73,9.8396
7639,24.6067335,-15.87191304,7.43,7.5886
7640,24.60952007,60.56296759,8.69,8.7629
7641,24.60953527,62.50924564,9.69,9.7486
7642,24.61167242,-15.46240614,8.16,8.2603
7643,24.61455921,-36.52795345,5.94,6.1048
7644,24.61484031,13.92832547,8.08,8.1576
7645,24.61691538,28.84553139,8.39,8.5533
7646,24.623497,0.65118323,11.6,11.6241
7647,24.62523429,1.36120425,10.58,9.4632
7648,24.62675297,-73.65891624,10.66,10.823
7649,24.6282306,-42.92785504,6.67,6.7527
7650,24.62892061,73.04007186,5.28,5.4463
7651,24.63265676,45.39970531,6.38,6.3812
7652,24.63493593,-24.44735603,10.67,10.7998
7653,24.63970501,13.64683675,9.67,9.8109
7654,24.6397572,-27.35733919,9.74,9.8475
7655,24.64021941,44.59018478,10.74,10.8677
7656,24.64898889,-65.60643597,7.11,7.2718
7657,24.65254651,-8.50946317,8.65,8.8016
7658,24.65520369,21.39823147,6.66,6.807
7659,24.65725611,-4.97187633,9.92,10.0356
7660,24.65718555,52.4346973,8.5,8.6583
7661,24.65953395,-32.16930206,7.46,7.6072
7662,24.66063439,-44.87900331,9.66,9.7593
7663,24.66154573,44.14443495,7.97,8.0614
7664,24.66297746,40.28184432,8.41,8.4884
7665,24.66883746,52.60639559,8.93,8.948
